run_accession,te,reads,reads_in_file,reads_mapped
SRR1663603,G5,7404,19536583,1713736
SRR1663603,G6,5035,19536583,1713736
SRR1663603,297,31914,19536583,1713736
SRR1663603,G7,227,19536583,1713736
SRR1663603,HMS-Beagle,15427,19536583,1713736
SRR1663603,roo,122314,19536583,1713736
SRR1663603,Bari2,375,19536583,1713736
SRR1663603,Bari1,17672,19536583,1713736
SRR1663603,Tabor,18344,19536583,1713736
SRR1663603,Porto1,10883,19536583,1713736
SRR1663603,looper1,905,19536583,1713736
SRR1663603,Doc2-element,15956,19536583,1713736
SRR1663603,Dvir:Penelope,1,19536583,1713736
SRR1663603,Dpse:mini-me,85,19536583,1713736
SRR1663603,Dbuz:Kepler,171,19536583,1713736
SRR1663603,mariner2,2050,19536583,1713736
SRR1663603,Quasimodo,32559,19536583,1713736
SRR1663603,accord,15225,19536583,1713736
SRR1663603,GATE,28897,19536583,1713736
SRR1663603,HeT-A,6664,19536583,1713736
SRR1663603,Circe,25860,19536583,1713736
SRR1663603,Dbif:P-element_M,1,19536583,1713736
SRR1663603,invader3,8943,19536583,1713736
SRR1663603,invader4,8860,19536583,1713736
SRR1663603,HB,5244,19536583,1713736
SRR1663603,invader1,10945,19536583,1713736
SRR1663603,invader2,19825,19536583,1713736
SRR1663603,Juan,7301,19536583,1713736
SRR1663603,HMS-Beagle2,18043,19536583,1713736
SRR1663603,hopper,5456,19536583,1713736
SRR1663603,micropia,9405,19536583,1713736
SRR1663603,Dana:Tom,4388,19536583,1713736
SRR1663603,invader5,1092,19536583,1713736
SRR1663603,invader6,2641,19536583,1713736
SRR1663573,Dmel_rpl32,539,19401200,1821942
SRR1663573,Dmel_rhi,1256,19401200,1821942
SRR1663573,Dmel_tj,1002,19401200,1821942
SRR1663573,BS4,176,19401200,1821942
SRR1663573,BS3,3636,19401200,1821942
SRR1663573,G-element,6860,19401200,1821942
SRR1663573,ZAM,7596,19401200,1821942
SRR1663573,Idefix,30277,19401200,1821942
SRR1663573,opus,17336,19401200,1821942
SRR1663573,jockey2,2909,19401200,1821942
SRR1663573,1731,9517,19401200,1821942
SRR1663573,pogo,5853,19401200,1821942
SRR1663573,Rt1c,5227,19401200,1821942
SRR1663573,R2-element,22285,19401200,1821942
SRR1663573,Rt1b,28100,19401200,1821942
SRR1663573,Rt1a,12393,19401200,1821942
SRR1663573,Helena,1477,19401200,1821942
SRR1663573,Tom1,664,19401200,1821942
SRR1663573,Doc,48904,19401200,1821942
SRR1663573,Dtei:I-element,894,19401200,1821942
SRR1663573,springer,8717,19401200,1821942
SRR1663573,Tirant,5082,19401200,1821942
SRR1663573,Osvaldo,743,19401200,1821942
SRR1663573,Dhyd:Minos,59,19401200,1821942
SRR1663573,Dsub:SGM,16,19401200,1821942
SRR1663573,R1-2,873,19401200,1821942
SRR1663573,S-element,12031,19401200,1821942
SRR1663573,gtwin,3726,19401200,1821942
SRR1663573,hopper2,2290,19401200,1821942
SRR1663573,Dvir:Helena,12950,19401200,1821942
SRR1663573,G5A,4264,19401200,1821942
SRR1663573,Transpac,16730,19401200,1821942
SRR1663573,copia,26793,19401200,1821942
SRR1663573,rover,13805,19401200,1821942
SRR1663573,Cr1a,63522,19401200,1821942
SRR1663573,S2,2414,19401200,1821942
SRR1663573,gypsy,6409,19401200,1821942
SRR1663573,Helitron,62,19401200,1821942
SRR1663573,Dbuz:ISBu2,4,19401200,1821942
SRR1663573,McClintock,11059,19401200,1821942
SRR1663573,Dm88,10203,19401200,1821942
SRR1663573,1360,51291,19401200,1821942
SRR1663573,diver,9019,19401200,1821942
SRR1663573,Stalker,27304,19401200,1821942
SRR1663573,INE-1,8399,19401200,1821942
SRR1663573,Dvir:Tv1,42,19401200,1821942
SRR1663573,TAHRE,21783,19401200,1821942
SRR1663573,BS,10185,19401200,1821942
SRR1663573,Dsub:GEM,227,19401200,1821942
SRR1663573,412,43819,19401200,1821942
SRR1663573,Doc4-element,2892,19401200,1821942
SRR1663573,diver2,9110,19401200,1821942
SRR1663573,Max-element,19860,19401200,1821942
SRR1663573,F-element,65457,19401200,1821942
SRR1663573,Fw2,2226,19401200,1821942
SRR1663573,Fw3,1492,19401200,1821942
SRR1663573,Burdock,10124,19401200,1821942
SRR1663573,Dvir:TART,715,19401200,1821942
SRR1663573,Tc1-2,4392,19401200,1821942
SRR1663573,blood,28564,19401200,1821942
SRR1663573,Dtak:R1A2,1,19401200,1821942
SRR1663573,TART-A,3561,19401200,1821942
SRR1663573,Dbuz:BuT3,10,19401200,1821942
SRR1663573,TART-C,440,19401200,1821942
SRR1663573,Dnet:R1A,1,19401200,1821942
SRR1663573,TART-B,3866,19401200,1821942
SRR1663573,Dbuz:BuT6,28,19401200,1821942
SRR1663573,17.6,33271,19401200,1821942
SRR1663573,X-element,10932,19401200,1821942
SRR1663573,R1A1-element,121869,19401200,1821942
SRR1663573,I-element,37807,19401200,1821942
SRR1663573,Tc1,5900,19401200,1821942
SRR1663573,Tc3,1231,19401200,1821942
SRR1663573,Doc3-element,19809,19401200,1821942
SRR1663573,Dbuz:INE-1,131,19401200,1821942
SRR1663573,rooA,14915,19401200,1821942
SRR1663573,Dfun:Isfun-1,44,19401200,1821942
SRR1663573,Q-element,964,19401200,1821942
SRR1663573,frogger,1101,19401200,1821942
SRR1663573,accord2,9397,19401200,1821942
SRR1663573,NOF,428,19401200,1821942
SRR1663573,hobo,12242,19401200,1821942
SRR1663573,P-element,7720,19401200,1821942
SRR1663573,baggins,26378,19401200,1821942
SRR1663573,Dyak:TART,117,19401200,1821942
SRR1663573,gypsy2,10366,19401200,1821942
SRR1663573,gypsy3,5648,19401200,1821942
SRR1663573,mdg3,12528,19401200,1821942
SRR1663573,gypsy4,19750,19401200,1821942
SRR1663573,gypsy5,8183,19401200,1821942
SRR1663573,mdg1,38189,19401200,1821942
SRR1663573,gypsy6,12588,19401200,1821942
SRR1663573,gypsy7,6722,19401200,1821942
SRR1663573,Ddip:Bari1,559,19401200,1821942
SRR1663573,gypsy8,3005,19401200,1821942
SRR1663573,gypsy9,2386,19401200,1821942
SRR1663573,Stalker4,33832,19401200,1821942
SRR1663573,Dyak:HeT-A,1,19401200,1821942
SRR1663573,Stalker2,11039,19401200,1821942
SRR1663573,gypsy11,1620,19401200,1821942
SRR1663573,Dsim:ninja,3642,19401200,1821942
SRR1663573,Stalker3,906,19401200,1821942
SRR1663573,gypsy12,9890,19401200,1821942
SRR1663573,Dmir:spock,4,19401200,1821942
SRR1663573,FB,11820,19401200,1821942
SRR1663573,Damb:P-element_T,38,19401200,1821942
SRR1663573,3S18,9610,19401200,1821942
SRR1663573,Ivk,14914,19401200,1821942
SRR1663573,gypsy10,6012,19401200,1821942
SRR1663573,aurora-element,3610,19401200,1821942
SRR1663573,transib1,1261,19401200,1821942
SRR1663573,transib2,7289,19401200,1821942
SRR1663573,transib3,3210,19401200,1821942
SRR1663573,G2,6331,19401200,1821942
SRR1663573,transib4,1676,19401200,1821942
SRR1663573,G3,2028,19401200,1821942
SRR1663573,jockey,18811,19401200,1821942
SRR1663573,flea,17446,19401200,1821942
SRR1663573,G4,7182,19401200,1821942
SRR1663573,G5,5947,19401200,1821942
SRR1663573,G6,2658,19401200,1821942
