SRR11846554,MARINER2,16.34,13.95
SRR11846554,MERCR1A3,0.00,0.00
SRR11846554,McCLINTOCK,16.39,13.80
SRR11846554,NEOR1A,0.01,0.00
SRR11846554,NETR1B,0.00,0.00
SRR11846554,NEWTON,0.00,0.00
SRR11846554,OPUS,34.26,29.37
SRR11846554,OSV,4.11,2.66
SRR11846554,PPI251,42.71,41.41
SRR11846554,P_M,0.00,0.00
SRR11846554,P_O,0.00,0.00
SRR11846554,P_T,0.05,0.00
SRR11846554,Q,9.06,1.30
SRR11846554,QBERT,9.92,8.47
SRR11846554,QUASIMODO,35.15,27.86
SRR11846554,R1-2,3.07,2.54
SRR11846554,ROOA_LTR,13.96,11.10
SRR11846554,ROVER,15.23,11.93
SRR11846554,ROXELEMENT,29.15,27.24
SRR11846554,RT1B,57.82,53.86
SRR11846554,RT1C,8.12,6.59
SRR11846554,S2,8.15,6.34
SRR11846554,SGM,0.13,0.00
SRR11846554,SPOCK,0.00,0.00
SRR11846554,SPRINGER,10.37,8.05
SRR11846554,STALKER,32.22,3.64
SRR11846554,STALKER2,16.60,12.76
SRR11846554,STALKER3,24.59,21.71
SRR11846554,STALKER4,41.33,1.86
SRR11846554,TABOR,19.32,16.45
SRR11846554,TAHRE,17.89,15.38
SRR11846554,TAKR1A2,0.00,0.00
SRR11846554,TARTC,3.56,1.34
SRR11846554,TARTVIR,0.62,0.01
SRR11846554,TARTYAK,1.75,0.24
SRR11846554,TC1,22.79,21.13
SRR11846554,TC1-2,16.36,14.93
SRR11846554,TC3,5.07,4.40
SRR11846554,TIRANT,8.75,6.71
SRR11846554,TRANSIB1,4.92,4.58
SRR11846554,TRANSIB2,20.22,18.56
SRR11846554,TRANSIB3,7.50,6.70
SRR11846554,TRANSIB4,3.81,3.22
SRR11846554,TV1,0.00,0.00
SRR11846554,Tinker,17.36,16.54
SRR11846554,U73803,0.00,0.00
SRR11846554,VEGE,0.00,0.00
SRR11846554,VIRUVIR,0.00,0.00
SRR11846554,WORF,0.00,0.00
SRR11846554,YAKHETA,0.00,0.00
SRR11846555,1360,124.83,106.90
SRR11846555,412,46.74,41.10
SRR11846555,ACCORD,9.95,8.32
SRR11846555,AF009439,0.00,0.00
SRR11846555,AF056940,0.02,0.00
SRR11846555,AF222049,23.58,21.10
SRR11846555,AF418572,0.00,0.00
SRR11846555,AF541951,2.45,1.56
SRR11846555,AY561850,6.21,3.75
SRR11846555,BAGGINS,34.71,31.64
SRR11846555,BLOOD,32.89,30.34
SRR11846555,BS,12.94,11.97
SRR11846555,BS3,15.08,12.88
SRR11846555,BS4,1.47,1.36
SRR11846555,BUT1,0.00,0.00
SRR11846555,BUT2,0.00,0.00
SRR11846555,BUT3,0.03,0.00
SRR11846555,BUT4,0.00,0.00
SRR11846555,BUT5,0.00,0.00
SRR11846555,BUT6,0.79,0.09
SRR11846555,Beagle,28.12,24.38
SRR11846555,Beagle2,15.27,12.11
SRR11846555,CIRC,28.35,26.01
SRR11846555,DBU133521,0.00,0.00
SRR11846555,DDBARI1,1.91,0.86
SRR11846555,DFU309320,0.19,0.00
SRR11846555,DH14600,0.00,0.00
SRR11846555,DHMINOS,0.21,0.05
SRR11846555,DHUHUH3,0.00,0.00
SRR11846555,DIVER2,17.26,13.21
SRR11846555,DK29466,0.00,0.00
SRR11846555,DM06920,15.61,11.28
SRR11846555,DM14101,8.08,5.30
SRR11846555,DM23420,14.28,12.52
SRR11846555,DM33463,52.97,30.69
SRR11846555,DM88,22.48,19.91
SRR11846555,DMAURA,8.17,4.24
SRR11846555,DMBARI1,63.10,61.88
SRR11846555,DMBLPP,22.53,21.00
SRR11846555,DMCOPIA,48.76,43.98
SRR11846555,DMCR1A,101.51,84.18
SRR11846555,DMDM11,17.68,14.98
SRR11846555,DME010298,29.77,26.78
SRR11846555,DME278684,17.10,15.69
SRR11846555,DME487856,31.23,28.30
SRR11846555,DME9736,35.59,27.54
SRR11846555,DMGYPF1A,7.62,5.63
SRR11846555,DMHFL1,4.02,2.86
SRR11846555,DMIFACA,16.45,12.29
SRR11846555,DMIS176,35.59,30.15
SRR11846555,DMIS297,47.70,38.85
SRR11846555,DMLINEJA,38.73,37.75
SRR11846555,DMMAR,0.00,0.00
SRR11846555,DMMDG3,20.38,18.47
SRR11846555,DMPOGOR11,14.31,13.73
SRR11846555,DMREPG,11.44,10.61
SRR11846555,DMRER1DM,231.99,223.45
SRR11846555,DMRER2DM,34.47,33.73
SRR11846555,DMRTMGD1,65.21,56.16
SRR11846555,DMTHB1,21.63,16.52
SRR11846555,DMTN1731,19.30,17.52
SRR11846555,DMTNFB,79.80,54.12
SRR11846555,DMTOM1_LTR,11.14,9.22
SRR11846555,DMTRAM,0.00,0.00
SRR11846555,DMTRDNA,22.42,19.47
SRR11846555,DMTRIM,0.00,0.00
SRR11846555,DMU89994,13.23,11.51
SRR11846555,DMW1DOC,81.70,79.53
SRR11846555,DMZAM,5.45,4.50
SRR11846555,DM_ROO,182.59,166.32
SRR11846555,DNTOMRETA,1.68,0.06
SRR11846555,DOC2,20.80,19.98
SRR11846555,DOC3,28.45,26.27
SRR11846555,DOC4,6.87,5.63
SRR11846555,DOC5,14.15,12.40
SRR11846555,DPSEMINIME,0.06,0.00
SRR11846555,DSRN,5.83,3.57
SRR11846555,DSV28T24,0.00,0.00
SRR11846555,DTEII,0.98,0.29
SRR11846555,DV26847,19.07,0.00
SRR11846555,DV49102,0.00,0.00
SRR11846555,DVRPPDV,0.00,0.00
SRR11846555,DVULYSS,0.00,0.00
SRR11846555,Dmel_rhi,1.04,1.03
SRR11846555,Dmel_rpl32,0.92,0.90
SRR11846555,Dmel_tj,1.03,1.02
SRR11846555,F,131.75,127.35
SRR11846555,FB,0.33,0.14
SRR11846555,FROGGER,3.25,2.72
SRR11846555,FW2,4.16,3.79
SRR11846555,FW3,2.98,2.57
SRR11846555,G2,20.47,19.18
SRR11846555,G3,2.81,2.28
SRR11846555,G4_DM,12.58,11.45
SRR11846555,G5A,10.36,8.71
SRR11846555,G5_DM,9.09,8.37
SRR11846555,G6_DM,11.92,11.55
SRR11846555,G7,1.35,1.16
SRR11846555,GALILEO,0.00,0.00
SRR11846555,GEM,0.24,0.00
SRR11846555,GTWIN,5.75,4.58
SRR11846555,GYPSY10,7.65,5.96
SRR11846555,GYPSY11,2.64,1.66
